category,main_category,state,backers,country,usd_pledged_real,usd_goal_real,project_time
Theater,Theater,successful,145,US,7164.66,6660,29
Art,Art,successful,63,US,2070,2000,60
Narrative Film,Film & Video,successful,34,US,4910,4800,31
Conceptual Art,Art,successful,19,US,337,300,29
Film & Video,Film & Video,successful,52,US,2511,2500,30
Public Art,Art,successful,9,US,1295,1200,18
Hip-Hop,Music,failed,3,US,70,2000,39
Rock,Music,failed,14,US,1655,5000,58
Comic Books,Comics,canceled,0,GB,0,14912.02,29
Tabletop Games,Games,failed,46,AU,2541.97,4131.14,59
Dance,Dance,failed,5,US,253,4000,29
3D Printing,Technology,successful,2139,US,599925,80000,29
Comics,Comics,failed,11,CA,295.04,14230.15,29
Theater,Theater,successful,39,US,3515,3500,16
Tabletop Games,Games,successful,216,US,10542,500,29
Webseries,Film & Video,successful,37,US,10037,10000,24
Hardware,Technology,successful,137,GB,4999.43,3573.06,29
Film & Video,Film & Video,successful,238,US,20020,14000,28
Experimental,Film & Video,canceled,0,US,0,500,29
Woodworking,Crafts,successful,40,US,5011,5000,29
Rock,Music,successful,44,US,1150.9,500,44
Music,Music,successful,17,US,1536,1500,29
Fashion,Fashion,successful,104,US,14461,13000,54
Design,Design,successful,89,HK,38743.23,38421.64,44
Video Games,Games,failed,26,GB,4063.88,50587.66,29
Graphic Novels,Comics,failed,78,US,1977,4000,29
Software,Technology,failed,0,US,0,15000,39
Children's Books,Publishing,failed,1,US,25,2500,59
Video Games,Games,canceled,18,US,491,2000,29
Apps,Technology,failed,19,US,1061,12000,59
Mobile Games,Games,failed,2,AU,12.29,3841.72,29
Robots,Technology,failed,7,US,295,11000,49
Nonfiction,Publishing,failed,2,US,70,15000,29
Restaurants,Food,failed,0,US,0,50000,29
Metal,Music,failed,4,IT,137.92,5304.48,39
Nonfiction,Publishing,failed,13,US,452,5000,27
Tabletop Games,Games,successful,898,CA,44676.08,20963.75,30
Nonfiction,Publishing,successful,33,US,3676,3000,39
Sound,Technology,successful,589,US,125171,80000,27
Documentary,Film & Video,failed,33,US,3000,16500,44
Accessories,Fashion,successful,41,GB,470.04,182.66,29
Art,Art,successful,36,US,4171,1000,35
Documentary,Film & Video,failed,79,US,5984,13000,29
Tabletop Games,Games,successful,14,US,387,100,19
Product Design,Design,canceled,55,US,1693,5000,33
Country & Folk,Music,failed,0,US,0,1000,44
Film & Video,Film & Video,successful,26,US,1024.04,1000,59
Television,Film & Video,canceled,19,US,4183,72000,29
Documentary,Film & Video,canceled,16,AU,503.44,3984.06,58
Tabletop Games,Games,failed,31,US,807,6750,30
Mixed Media,Art,live,1,US,50,3500,29
Hardware,Technology,successful,163,US,22603,1,29
Drama,Film & Video,live,1,CH,102.97,102.97,56
Music,Music,successful,84,US,12105,12000,59
Music,Music,failed,1,GB,298.24,149120.19,29
Software,Technology,failed,0,US,0,25000,24
Gadgets,Technology,successful,31,US,999,280,26
Tabletop Games,Games,failed,9,US,231,7920,29
Publishing,Publishing,canceled,0,NL,0,387.93,59
Accessories,Fashion,failed,7,US,677,11800,27
Video Games,Games,failed,16,FR,760.04,10238.25,29
Calendars,Publishing,canceled,0,US,0,800,29
Poetry,Publishing,canceled,0,US,0,3500,35
Anthologies,Comics,successful,371,US,21258,15000,24
Hardware,Technology,failed,52,US,3883,25000,44
Gadgets,Technology,failed,70,NO,4116.98,24070.29,29
Art,Art,failed,1,GB,8.26,21183.85,35
Art,Art,successful,55,US,1610,1250,29
Product Design,Design,successful,72,FR,12498.87,11304.03,40
Narrative Film,Film & Video,failed,12,US,451,2500,59
People,Photography,failed,184,US,19831,26000,29
Illustration,Art,failed,2,US,20,2000,9
Apparel,Fashion,failed,2,IT,2.26,3383.71,31
Gadgets,Technology,successful,323,US,47826,40000,31
People,Photography,failed,4,ES,163.62,4400.76,44
Food,Food,successful,171,US,18145.68,16784,59
Nonfiction,Publishing,canceled,1,US,50,50000,32
Fiction,Publishing,failed,0,US,0,300,29
Web,Journalism,failed,1,US,5,50000,29
Video Games,Games,failed,234,US,2992.25,6000,29
Performance Art,Art,canceled,4,US,175,4500,29
Illustration,Art,failed,5,MX,191.05,1549.03,29
Digital Art,Art,live,0,US,0,40000,59
Film & Video,Film & Video,successful,24,US,2165,2000,44
Dance,Dance,successful,105,US,4635.48,4000,45
Technology,Technology,failed,0,US,0,100,30
Art,Art,successful,12,US,507,300,29
Art,Art,failed,1,US,1,5000,29
Fashion,Fashion,canceled,8,US,4282,50000,44
Footwear,Fashion,successful,136,IT,30855.14,17780.74,30
Performances,Dance,failed,36,US,1817,3300,29
Film & Video,Film & Video,failed,2,US,101,500,89
Games,Games,successful,293,US,15467,2000,45
Documentary,Film & Video,failed,1,US,1,55000,29
Electronic Music,Music,canceled,0,US,0,30000,29
Music,Music,successful,79,US,15257,15000,29
Food,Food,failed,5,CA,406.13,9126.59,29
Pop,Music,failed,2,US,125,4000,14
Nonfiction,Publishing,failed,35,GB,618.88,1319.57,10
Publishing,Publishing,failed,94,US,20509,85000,45
Fashion,Fashion,failed,0,GB,0,15146.93,29
Painting,Art,failed,1,AU,14.32,1507.61,19
Rock,Music,live,90,GB,4086.48,2727.95,59
Documentary,Film & Video,failed,0,US,0,2500,29
Art Books,Publishing,successful,321,US,24593.91,14040,32
Food,Food,successful,64,US,5400,5000,29
Experimental,Film & Video,failed,0,US,0,5000,13
Documentary,Film & Video,canceled,3,US,300,2000,30
Food,Food,canceled,6,US,495,55000,29
Software,Technology,failed,0,US,0,1230000,29
Fashion,Fashion,successful,59,US,3836,2500,29
Food,Food,failed,26,US,890,10000,44
Documentary,Film & Video,failed,7,US,190,5000,29
Video Games,Games,suspended,0,US,0,350,29
Product Design,Design,failed,28,US,8047,25000,43
Shorts,Film & Video,live,1,CH,205.94,2059.39,41
Music,Music,failed,6,US,175,5500,29
Apparel,Fashion,failed,0,US,0,5000,29
Indie Rock,Music,successful,58,US,3628,3000,80
Graphic Novels,Comics,successful,407,US,12132,6000,29
Installations,Art,failed,1,IT,1.13,113480.33,44
Tabletop Games,Games,successful,769,DE,69507.68,17692.43,28
Blues,Music,successful,70,US,6905,2000,34
Documentary,Film & Video,successful,56,US,3115,3000,88
Apps,Technology,failed,0,US,0,15000,29
Rock,Music,failed,5,US,24.66,2500,29
Film & Video,Film & Video,successful,65,US,5140,5000,32
Fiction,Publishing,failed,3,US,92,12000,29
Photography,Photography,successful,140,US,12002,10000,35
Footwear,Fashion,failed,3,NZ,40.47,749.51,29
Classical Music,Music,successful,57,CA,5931.66,5496.52,21
Periodicals,Publishing,successful,106,US,3456.66,3394,24
Product Design,Design,failed,23,US,1531,30000,24
Apparel,Fashion,failed,1,DE,39.48,112809.52,29
Small Batch,Food,successful,33,US,3960,3950,32
Classical Music,Music,successful,62,GB,3544.6,3372.89,39
Animation,Film & Video,failed,53,US,1760,10000,29
Apps,Technology,failed,3,US,51,150000,29
People,Photography,failed,0,US,0,10000,29
Webseries,Film & Video,failed,0,US,0,6500,53
Fashion,Fashion,failed,6,US,420,10000,29
Web,Technology,failed,0,US,0,10000,29
Print,Journalism,canceled,0,US,0,2500,29
Graphic Novels,Comics,successful,178,US,10247,7000,30
Photobooks,Photography,failed,6,NL,137.99,31413.03,58
Apps,Technology,failed,2,US,40,50000,29
Horror,Film & Video,successful,23,DK,1309.13,595.06,21
Webseries,Film & Video,successful,22,US,1126,1000,14
Theater,Theater,successful,78,US,4325.83,3500,48
Small Batch,Food,canceled,0,US,0,6000,29
Indie Rock,Music,failed,9,US,1181,6000,59
Public Art,Art,successful,161,US,10502.11,10000,59
Theater,Theater,failed,0,US,0,2500,29
Fiction,Publishing,failed,5,CA,249.45,18897.88,29
Documentary,Film & Video,failed,28,US,3773,20000,90
Apps,Technology,failed,4,US,10,18000,29
Photobooks,Photography,failed,1,US,5,33000,59
Art Books,Publishing,successful,66,US,7562,5000,29
Documentary,Film & Video,canceled,8,DE,692.96,17590.62,29
Documentary,Film & Video,successful,8,US,3660,3000,34
Film & Video,Film & Video,failed,1,US,40,1500,29
DIY Electronics,Technology,successful,19,NL,737.08,646.56,29
Photography,Photography,canceled,8,US,715,18500,29
Shorts,Film & Video,successful,56,US,4625,2250,29
Technology,Technology,failed,0,CA,0,17739.93,29
Shorts,Film & Video,failed,0,US,0,4000,44
Video Games,Games,failed,0,MX,0,1557.63,34
Children's Books,Publishing,failed,75,US,2350,7000,29
Food,Food,failed,18,US,975,20000,29
Photography,Photography,failed,5,US,185,5000,29
Comics,Comics,failed,0,US,0,80000,26
Art,Art,failed,2,US,2,5,29
Photography,Photography,successful,210,US,18682,15000,32
Food,Food,failed,7,GB,419.3,5590.73,44
Indie Rock,Music,successful,74,US,9000,9000,29
Art,Art,successful,69,US,3630,3400,44
Tabletop Games,Games,canceled,59,US,1488,11500,27
Science Fiction,Film & Video,successful,70,GB,11507.55,11182.51,30
Music,Music,successful,36,US,2180,2000,49
Art,Art,failed,18,US,1511,15000,29
Tabletop Games,Games,failed,68,US,2808.99,6000,29
Software,Technology,failed,2,GB,419.1,24179.12,29
Documentary,Film & Video,failed,19,GB,877.79,30799.56,29
Design,Design,failed,0,US,0,5000,49
Classical Music,Music,successful,77,US,7325,6500,29
Tabletop Games,Games,successful,180,US,6465,6000,29
Robots,Technology,failed,0,GB,0,462.41,29
Documentary,Film & Video,successful,1,US,100,100,20
Art,Art,failed,41,US,9875,50000,29
Calendars,Publishing,successful,1166,US,92145.1,20000,29
Theater,Theater,failed,30,US,2061,15000,29
Product Design,Design,successful,197,US,10550,4000,34
Food,Food,successful,107,US,20450.5,20000,29
Music,Music,undefined,0,undefined,9000,9000,51
Fiction,Publishing,failed,38,US,2375,11900,31
Food Trucks,Food,failed,21,GB,531.25,5703.58,29
Playing Cards,Games,failed,1,GB,1.22,243.12,58
Publishing,Publishing,successful,135,AU,19327.7,14598.54,29
Anthologies,Publishing,failed,0,US,0,5000,29
Small Batch,Food,failed,19,US,1730,7717,29
Comic Books,Comics,successful,32,US,941,850,24
Mobile Games,Games,failed,0,DE,0,21894.05,29
Accessories,Fashion,canceled,11,AU,765.31,5540.37,29
Tabletop Games,Games,canceled,5,US,571,27500,29
Electronic Music,Music,failed,0,US,0,1500,59
Music,Music,undefined,0,undefined,76.98,1492.4,29
Film & Video,Film & Video,failed,1,GB,23.23,247793.09,29
Woodworking,Crafts,failed,2,US,2,10000,29
Crafts,Crafts,canceled,0,US,0,25000,30
Fiction,Publishing,successful,300,US,8551.77,4500,29
Shorts,Film & Video,failed,5,US,195,20000,27
Architecture,Design,failed,5,US,251,500000,59
Art,Art,successful,37,US,2021,1700,60
Publishing,Publishing,undefined,0,undefined,0,3700.69,59
Mobile Games,Games,successful,15,US,351,200,14
Video Games,Games,successful,54,US,10281.96,10000,29
Web,Technology,failed,2,US,251,3500,29
Pop,Music,successful,247,US,12823,12000,24
Apparel,Fashion,failed,1,US,55,5500,28
Digital Art,Art,failed,0,FR,0,5404,59
Children's Books,Publishing,canceled,12,US,663,7535,45
Comedy,Film & Video,failed,1,US,1,8000,29
Product Design,Design,successful,2118,US,408160.14,400000,39
Documentary,Film & Video,successful,83,US,7020,6000,43
Sculpture,Art,successful,48,US,2000.45,2000,60
Playing Cards,Games,failed,8,CA,177.95,7908.89,29
Food,Food,successful,13,CA,568.59,357.85,6
Web,Technology,canceled,0,US,0,5000,59
Nonfiction,Publishing,canceled,7,US,230,20000,29
Fiction,Publishing,failed,10,US,562,2999,16
Punk,Music,failed,1,US,1,5000,39
Film & Video,Film & Video,failed,0,AU,0,977.2,21
Documentary,Film & Video,successful,10,GB,2402.28,2324.79,24
Shorts,Film & Video,failed,1,US,25,500,23
Food,Food,failed,37,US,3801,30000,48
Children's Books,Publishing,failed,2,US,150,2000,29
Apps,Technology,failed,6,IT,213.47,11728.97,39
Food,Food,failed,1,US,1,30000,29
Theater,Theater,successful,52,US,8141,8000,77
Dance,Dance,successful,37,US,5317,5000,29
Crafts,Crafts,failed,2,FR,47.88,16702.48,34
Documentary,Film & Video,failed,8,US,27011,250000,44
Documentary,Film & Video,canceled,0,US,0,20000,58
Tabletop Games,Games,successful,55,US,2231,1000,29
Painting,Art,failed,2,CA,210.21,1517.8,20
Fabrication Tools,Technology,failed,15,US,456,8400,29
Festivals,Theater,successful,13,GB,1714.54,1714.35,16
Games,Games,failed,0,US,0,40000,29
Product Design,Design,failed,78,US,7530,25000,30
Mobile Games,Games,failed,3,US,7,50000,59
Apps,Technology,failed,1,US,1,15000,29
Film & Video,Film & Video,failed,0,US,0,8000,29
Webseries,Film & Video,successful,97,US,3320,3000,29
Product Design,Design,failed,62,US,7264,75000,39
Photography,Photography,successful,35,US,2020,1000,36
Documentary,Film & Video,successful,61,US,3230,3000,79
Fashion,Fashion,successful,194,GB,7788.77,5274.54,44
Nonfiction,Publishing,failed,119,US,5354.37,9999,29
Crafts,Crafts,successful,4,US,67,50,29
Video,Journalism,failed,1,US,10,10000000,59
Web,Journalism,failed,1,US,55,225000,44
Weaving,Crafts,failed,3,US,90,350,29
Fiction,Publishing,failed,0,US,0,3000,59
Video Games,Games,failed,6,CA,570.48,43882.75,59
Apps,Technology,canceled,5,US,121,35000,29
Shorts,Film & Video,successful,107,US,10861,10000,29
Dance,Dance,successful,69,US,7222.33,7000,29
Hip-Hop,Music,failed,10,US,88,50000,44
Web,Technology,failed,2,US,50,6000,29
Dance,Dance,successful,60,US,5413,5000,31
DIY,Crafts,failed,1,US,1,7000,29
Narrative Film,Film & Video,failed,6,US,233.33,12000,44
Hardware,Technology,failed,1,IT,1.12,28035.08,29
Technology,Technology,canceled,0,US,0,5000,29
Technology,Technology,failed,35,US,5203,100000,29
Events,Comics,failed,0,IT,0,5315.98,53
Photography,Photography,failed,0,US,0,5000,29
Plays,Theater,successful,31,US,6505,6500,29
Film & Video,Film & Video,successful,3,US,405,350,16
Tabletop Games,Games,failed,24,US,1867,15000,40
Theater,Theater,failed,5,US,115,8000,44
Theater,Theater,failed,10,US,605,10000,44
Fiction,Publishing,canceled,0,US,0,4800,26
People,Photography,failed,45,US,2790,25000,44
Comics,Comics,failed,31,US,810,5000,29
DIY Electronics,Technology,failed,3,SE,153.97,390309.56,29
Apparel,Fashion,failed,0,US,0,5000,29
Mixed Media,Art,failed,6,GB,153.27,782.01,31
Film & Video,Film & Video,failed,1,US,1,500,24
Photography,Photography,failed,2,US,30,3500,59
Photobooks,Photography,successful,171,US,16241,15000,29
Rock,Music,successful,71,US,3105,3000,44
Children's Books,Publishing,failed,8,US,660,3750,54
Cookbooks,Food,failed,4,US,62,50000,30
Photobooks,Photography,successful,88,US,10221.1,10000,29
Hip-Hop,Music,failed,17,US,517,6000,39
Hip-Hop,Music,failed,2,SE,1.75,4655.11,29
Live Games,Games,failed,10,NL,275.47,5598.98,29
Comic Books,Comics,failed,15,US,669,7000,29
Photography,Photography,canceled,0,NO,0,6109.86,59
Technology,Technology,failed,1,US,20,1600,39
Gadgets,Technology,failed,118,US,8036,12500,29
Software,Technology,failed,3,DE,189.89,474.72,44
Music,Music,undefined,0,undefined,47.18,7863.24,29
Fashion,Fashion,successful,114,US,14719.06,14000,29
Games,Games,successful,2185,US,93845,3000,29
Video Games,Games,failed,34,AU,650.55,10989.01,29
Theater,Theater,failed,0,US,0,2500,58
Narrative Film,Film & Video,failed,33,US,3275,75000,29
Documentary,Film & Video,failed,0,US,0,50000,29
Weaving,Crafts,failed,1,US,52,300,29
Hip-Hop,Music,canceled,2,US,75,10000,27
Illustration,Art,successful,973,US,55448,6000,29
Fine Art,Photography,successful,25,US,2170,450,30
Experimental,Film & Video,failed,0,GB,0,16232.71,29
Shorts,Film & Video,failed,59,US,9173,23500,29
Children's Books,Publishing,successful,73,US,4428,1500,39
Photography,Photography,successful,68,US,7344,6000,29
Apps,Technology,failed,1,US,20,15000,59
Art,Art,successful,61,US,3086,2400,29
Music,Music,successful,196,US,11120.25,10000,29
Comic Books,Comics,successful,241,US,25298,15000,30
Technology,Technology,failed,1,AU,3.9,1715.13,29
Drinks,Food,failed,3,US,30,20000,29
Fiction,Publishing,failed,25,US,820,5000,86
Playing Cards,Games,failed,55,GB,863.98,5314.46,44
3D Printing,Technology,successful,14,GB,670.26,648.64,14
Food,Food,failed,1,US,30,50000,44
Rock,Music,successful,30,US,3110,3000,29
Product Design,Design,failed,8,US,183,220500,22
Tabletop Games,Games,successful,207,CA,9755.4,916.09,30
Food,Food,successful,160,US,22361,20000,32
Apps,Technology,failed,5,US,131,200000,47
Fashion,Fashion,failed,2,US,1000,3000,29
Product Design,Design,failed,1,US,75,25000,59
Documentary,Film & Video,failed,8,US,526,62000,49
Fantasy,Film & Video,failed,24,CA,995.03,8149.3,29
Apparel,Fashion,failed,0,US,0,1500,29
Metal,Music,failed,5,CA,101.2,963.78,29
Illustration,Art,successful,415,US,31607,3500,27
Webseries,Film & Video,canceled,0,US,0,3500,30
Hardware,Technology,failed,6,US,603,50000,29
Apps,Technology,failed,3,US,351,150000,6
Theater,Theater,successful,197,GB,12733.64,10085.39,29
Product Design,Design,failed,42,AU,2092.19,41288.19,29
Comic Books,Comics,successful,37,US,1910,1,9
Events,Food,failed,0,FR,0,11219.94,12
Theater,Theater,successful,84,US,3320,3000,26
Music,Music,successful,253,US,12883.89,10000,29
Webcomics,Comics,failed,73,US,6225,10350,34
Public Art,Art,failed,3,US,501,2000,19
Restaurants,Food,failed,0,GB,0,74550.09,25
Mixed Media,Art,failed,3,US,100,8500,13
Shorts,Film & Video,failed,1,US,500,75000,44
Music,Music,failed,0,IT,0,11167.94,29
Civic Design,Design,failed,2,US,10,5000,29
Tabletop Games,Games,canceled,159,GB,4616.89,5663.16,39
Shorts,Film & Video,successful,122,US,15075,15000,21
Comic Books,Comics,successful,90,US,5281,1500,29
Electronic Music,Music,failed,0,AU,0,139.28,28
Film & Video,Film & Video,failed,2,GB,167.86,4578.06,29
Webseries,Film & Video,successful,79,US,7890,7500,14
DIY,Crafts,failed,1,US,10,5000,34
Photo,Journalism,failed,0,IT,0,27367.57,29
Dance,Dance,successful,27,US,3000,3000,29
Fashion,Fashion,failed,3,US,3.27,5000,29
Public Art,Art,failed,172,US,21310,25000,29
Tabletop Games,Games,canceled,0,CA,0,3993.93,29
Fashion,Fashion,failed,2,US,2,63000,59
Games,Games,failed,1,GB,1.68,420.22,49
Film & Video,Film & Video,successful,297,US,31580,30000,51
Food,Food,failed,8,FR,1776.81,469304.23,39
Food,Food,failed,0,US,0,15000,31
Music,Music,successful,142,US,25631,25000,29
Illustration,Art,failed,7,US,195,3300,29
Documentary,Film & Video,successful,6508,US,384375.87,300000,29
Country & Folk,Music,failed,33,US,4680,12000,43
Mixed Media,Art,failed,0,US,0,25000,29
Fashion,Fashion,successful,18,US,370,240,19
Pop,Music,failed,10,US,501,1500,29
Design,Design,successful,269,US,12058,10000,29
Web,Technology,failed,28,NL,681.67,5542.01,28
Nonfiction,Publishing,failed,19,US,1925,15000,29
Comedy,Film & Video,successful,81,US,7763,7000,13
Product Design,Design,suspended,5,GB,318.15,6269,29
Public Art,Art,canceled,0,DE,0,328.23,38
Children's Books,Publishing,failed,25,US,1045,5225,44
Webseries,Film & Video,failed,19,US,1459,15000,19
Video Art,Art,successful,12,US,1505,1500,29
Film & Video,Film & Video,undefined,0,undefined,0,5500,59
Pop,Music,failed,4,US,135,5000,29
Art,Art,failed,1,US,50,8000,59
Music,Music,successful,140,US,15968,15000,31
Mobile Games,Games,failed,13,CA,1084.63,7542.62,29
Publishing,Publishing,failed,6,US,131,4700,30
Painting,Art,successful,29,US,985,950,29
Product Design,Design,failed,3,US,100,1000,29
Fiction,Publishing,canceled,0,US,0,1700,29
Documentary,Film & Video,failed,0,GB,0,1303.67,24
Food,Food,failed,6,US,110,10000,29
Art Books,Publishing,successful,139,US,5214.25,500,20
Shorts,Film & Video,failed,0,US,0,1500,29
Restaurants,Food,failed,0,DE,0,1680295.73,29
Theater,Theater,canceled,47,US,2670,10000,16
Product Design,Design,failed,1,IE,1.25,12482.99,19
Children's Books,Publishing,failed,62,US,3257,15000,59
Documentary,Film & Video,failed,1,US,5,24300,59
World Music,Music,successful,4,AU,443.9,387.72,20
Ceramics,Art,failed,1,US,230,26000,29
Narrative Film,Film & Video,failed,0,US,0,2500,29
Apps,Technology,failed,4,AU,236.77,7428.04,29
Indie Rock,Music,failed,36,US,2200,15000,23
Design,Design,failed,2,IT,29.28,100241.03,59
Wearables,Technology,failed,15,CA,2174.11,82735.8,44
Theater,Theater,successful,215,US,12130.03,10000,20
Illustration,Art,canceled,8,US,468,2000,59
Journalism,Journalism,failed,0,US,0,16750,59
Film & Video,Film & Video,undefined,0,undefined,7501,7500,20
Comic Books,Comics,failed,2,US,30,7500,30
Nonfiction,Publishing,canceled,58,US,5328,5000,29
Art,Art,failed,0,GB,0,401.26,13
Documentary,Film & Video,failed,0,US,0,10000,59
Digital Art,Art,failed,8,US,621,1500,59
Apps,Technology,failed,9,CA,144.97,6485.58,46
Playing Cards,Games,successful,597,US,15731,13000,29
Shorts,Film & Video,successful,104,US,3175,3000,29
Photography,Photography,failed,5,US,165,20000,59
Civic Design,Design,failed,0,AU,0,23344.85,24
Classical Music,Music,live,1,US,18,10000,29
Art Books,Publishing,successful,1398,US,73718,15000,29
Apps,Technology,failed,22,US,1081,5000,59
Product Design,Design,failed,47,IT,14943.03,24090,32
Blues,Music,failed,16,US,1495,4200,39
Tabletop Games,Games,successful,17,GB,742.34,248.69,6
Publishing,Publishing,successful,94,US,1700,1400,29
Children's Books,Publishing,successful,82,CA,5561.11,5258.02,28
Journalism,Journalism,failed,6,US,193,6000,29
Webcomics,Comics,successful,44,US,3015.01,2000,20
Crafts,Crafts,canceled,6,US,796,10000,29
Fashion,Fashion,successful,7,US,280,250,8
Apparel,Fashion,failed,151,DE,13216.09,28004.93,44
Nonfiction,Publishing,successful,274,US,12500,5000,31
Photography,Photography,failed,0,US,0,5000,29
Documentary,Film & Video,failed,29,GB,2520.84,14647.51,44
Mobile Games,Games,canceled,0,US,0,10000,29
Tabletop Games,Games,successful,251,US,22105,3000,29
Tabletop Games,Games,successful,139,GB,5567.27,2451.1,20
Fiction,Publishing,failed,2,US,22,1000,29
Thrillers,Film & Video,successful,12,US,390.55,250,9
Apps,Technology,failed,1,AU,0.81,16229.81,29
Plays,Theater,successful,57,CA,6654.99,4608.72,9
Mixed Media,Art,successful,47,US,2567,1500,29
Shorts,Film & Video,canceled,0,US,0,30000,59
Academic,Publishing,failed,10,DE,353.03,107150.91,32
Academic,Publishing,failed,1,US,25,3000,47
Hardware,Technology,live,3975,US,404339,30000,44
Shorts,Film & Video,successful,93,GB,2692.75,2652.6,29
Music,Music,canceled,1,US,10,15000,20
Country & Folk,Music,canceled,6,US,190,540,29
Comic Books,Comics,successful,17,US,450,264,29
Gadgets,Technology,failed,4,US,17,55500,29
People,Photography,failed,0,US,0,2600,29
Painting,Art,failed,7,US,372,40000,29
Art Books,Publishing,successful,75,US,10595.17,10500,59
Documentary,Film & Video,failed,3,US,121,6000,29
Shorts,Film & Video,successful,37,US,20845,20000,29
Product Design,Design,failed,133,US,5891,30000,29
Digital Art,Art,successful,29,US,1575,1500,44
Fashion,Fashion,failed,7,US,202,9000,29
Product Design,Design,failed,1,US,1,300,4
Periodicals,Publishing,failed,18,US,760,15000,29
Festivals,Theater,successful,8,GB,492.66,469.2,29
Tabletop Games,Games,successful,124,US,34448,4000,23
Nonfiction,Publishing,successful,7,US,350,350,29
Product Design,Design,canceled,5,GB,269.43,15322.93,29
People,Photography,failed,0,US,0,133800,29
Product Design,Design,failed,27,US,2477,45000,44
Candles,Crafts,failed,4,GB,77.12,385.58,29
Children's Books,Publishing,failed,3,US,115,4444,29
Rock,Music,successful,209,US,7508.01,5000,41
Sculpture,Art,canceled,0,US,0,5000,19
Animation,Film & Video,failed,4,AT,37.38,2670.26,29
Fiction,Publishing,canceled,1,US,50,11500,59
Product Design,Design,failed,72,FR,3706.25,13837.54,29
Apps,Technology,failed,6,US,305,1200,29
Classical Music,Music,failed,147,CA,17102.08,30045.82,59
Food,Food,successful,365,US,16507.38,15000,27
Food,Food,failed,23,AT,601.27,4480.79,30
Comic Books,Comics,successful,45,US,1705,1200,28
Camera Equipment,Technology,successful,42,US,46365,30000,31
Tabletop Games,Games,canceled,1,US,52,5000,29
Food,Food,successful,91,US,10051.5,10000,29
Documentary,Film & Video,failed,0,US,0,110000,29
Product Design,Design,failed,87,US,5451,25000,44
Theater,Theater,failed,54,US,2920,3500,29
Indie Rock,Music,successful,72,US,5179,4000,31
Art Books,Publishing,successful,83,US,7986,7500,44
Documentary,Film & Video,failed,0,US,0,30000,29
Theater,Theater,successful,23,US,1570.02,1500,56
Indie Rock,Music,successful,35,US,1795,1000,11
Photography,Photography,successful,46,US,3336,3000,29
Animation,Film & Video,failed,7,US,280,5600,59
Food,Food,failed,30,US,985,15000,29
Young Adult,Publishing,failed,1,AU,3.56,14252.12,29
Electronic Music,Music,failed,0,CA,0,1160.72,29
Rock,Music,successful,32,US,1620,1500,27
Tabletop Games,Games,failed,4,US,149,14500,59
Festivals,Theater,successful,11,US,740,650,18
Photography,Photography,successful,29,US,3620,3300,29
Footwear,Fashion,successful,406,US,17386,1000,59
Indie Rock,Music,successful,41,CA,3377.27,3234.94,33
Food,Food,successful,2768,US,82012.7,15000,29
Accessories,Fashion,failed,3,US,81,10000,6
Webseries,Film & Video,failed,12,US,915,20000,27
Software,Technology,failed,3,US,75,35000,29
Crafts,Crafts,failed,3,US,45,500,23
Hip-Hop,Music,canceled,0,US,0,1000,29
World Music,Music,failed,1,US,1,1000000,59
Television,Film & Video,failed,0,US,0,15000,57
Art,Art,successful,77,US,9000,8200,59
Film & Video,Film & Video,failed,2,US,101,10000,29
Documentary,Film & Video,failed,92,US,5631,12800,90
Music,Music,canceled,2,US,125,900,59
Photography,Photography,successful,40,US,3033,2424,29
Shorts,Film & Video,canceled,0,US,0,2000,59
Comics,Comics,successful,98,US,3166,3000,44
Food,Food,failed,3,US,110,10000,29
Webseries,Film & Video,failed,3,US,277,1000,30
Photography,Photography,failed,23,US,748,5000,29
Hardware,Technology,failed,95,US,37869,135000,29
Science Fiction,Film & Video,successful,135,US,27155,25000,35
Comedy,Film & Video,successful,21,US,1650,1600,29
DIY,Crafts,successful,112,GB,5564.64,4626.92,39
Sculpture,Art,failed,0,US,0,5000,58
Video Games,Games,failed,1,AU,0.89,44543.43,29
Apps,Technology,failed,1,US,50,5000,29
Indie Rock,Music,successful,56,US,3684,3000,30
Fiction,Publishing,failed,6,US,150,6900,29
Fashion,Fashion,failed,1,US,25,2500,36
Fiction,Publishing,successful,54,US,3446,3300,21
Painting,Art,successful,35,ES,4430.77,4387.99,20
Film & Video,Film & Video,successful,104,US,6639,6500,59
Mixed Media,Art,failed,1,US,105,500,29
Apparel,Fashion,failed,26,GB,1583.62,58038.31,29
Metal,Music,failed,1,US,1,5700,29
Horror,Film & Video,successful,316,US,31066.11,30000,22
Tabletop Games,Games,successful,46,US,5272,5000,29
Music,Music,failed,0,US,0,5000,59
Video Games,Games,failed,1,US,25,4200,29
Art,Art,successful,98,US,5670,2500,25
Accessories,Fashion,failed,3,US,160,2000,29
Comics,Comics,failed,0,US,0,1475,34
Music,Music,undefined,0,undefined,275,2000,29
Ceramics,Art,failed,15,US,638,12000,59
Photography,Photography,canceled,17,US,963,7000,49
Fashion,Fashion,failed,4,US,175,3300,29
Crafts,Crafts,successful,4,US,160,60,14
Shorts,Film & Video,failed,1,US,1,2000,29
Food,Food,failed,67,US,6810,30000,28
Cookbooks,Food,failed,0,US,0,5000,29
Performances,Dance,failed,0,US,0,10000,53
Shorts,Film & Video,failed,0,US,0,5000,59
Illustration,Art,successful,23,US,281,100,9
